nid,Keep?,Title,Contributor,Creation Date,URL,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
1681,keep,"""""""A strange, diverse creature"""": Femininity and Natural Affinity in the Works of Spofford, Gilman, and Hawthorne""","""Creator: Carr, Shelby Carr, Thesis advisor: Keetley, Dawn E.""",5/1/2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/strange-diverse,,,,,,,,,,,,,,,,,,,
394393,delete,"""""""A strange, diverse creature"""": Femininity and Natural Affinity in the Works of Spofford, Gilman, and Hawthorne""","""Creator: Carr, Shelby C. - Lehigh University, Creator: Keetley, Dawn - Lehigh University""",2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/strange-1,,,,,,,,,,,,,,,,,,,
2709,keep,"""""""Better Than Seeing Fairy Tales:"""" Contextualizing Curation in the Iberian Atlantic""","""Creator: Betz, Tim, Thesis advisor: Zepeda Cortés, María Bárbara ; Bulman, William J. ; Pettegrew, John""",2017-01,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/better-seeing,,,,,,,,,,,,,,,,,,,
394340,delete,"""""""Better Than Seeing Fairy Tales:"""" Contextualizing Curation in the Iberian Atlantic""","""Creator: Betz, Tim - Lehigh University, Creator: Zepeda Cortes, Maria Barbara - Lehigh University""",2017,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/better-seeing-0,,,,,,,,,,,,,,,,,,,
3051,keep,"""""""Dear Louie:"""" Louisine Waldron Elder Havemeyer, Impressionist Art Collector and Woman Suffrage Activist""","""Creator: Ganus, Linda Carol, Thesis advisor: Pettegrew, John C.""",8/4/2017,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/dear-louie,,,,,,,,,,,,,,,,,,,
394574,delete,"""""""Dear Louie:"""" Louisine Waldron Elder Havemeyer, Impressionist Art Collector and Woman Suffrage Activist""","""Creator: Ganus, Linda C. - Lehigh University, Creator: Pettegrew, John - Lehigh University""",2017,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/dear-louie-0,,,,,,,,,,,,,,,,,,,
2318,keep,"""""""Goddamn That DJ Made My Day"""": The Hip-Hop DJ's Use of the Kairotic Moment""","""Creator: McCarthy, Justin, Thesis advisor: Lay, Jenna""",2018-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/goddamn-dj-made,,,,,,,,,,,,,,,,,,,
394897,delete,"""""""Goddamn That DJ Made My Day"""": The Hip-Hop DJ's Use of the Kairotic Moment""","""Creator: McCarthy, Justin - Lehigh University, Creator: Lay, Jenna - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/goddamn-dj-0,,,,,,,,,,,,,,,,,,,
394685,delete,"""""""I Have Compared Myself to Proserpine"""": Agency, Trauma, and Maternal Death in Mary Shelley's Mathilda""","""Creator: Hurlock, Kathleen E. - Lehigh University, Creator: Dolan, Elizabeth - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/i-have-0,,,,,,,,,,,,,,,,,,,
6075,keep,"""""""I Have Compared Myself to Proserpine"""": Agency, Trauma, and Maternal Death in Mary Shelley's Mathilda""","""Creator: Hurlock, Kathleen Emily, Thesis advisor: Dolan, Elizabeth A.""",5/1/2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/i-have-compared,,,,,,,,,,,,,,,,,,,
394667,delete,"""""""Physicians of the Soul:"""" The Interdisciplinarity of the Puritan New England Minister's Calling in Spiritual and Physical Wellbeing, 1660 to 1730""","""Creator: Hill, Christine - Lehigh University, Creator: Najar, Monica - Lehigh University""",2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/physicians-0,,,,,,,,,,,,,,,,,,,
7170,keep,"""""""Physicians of the Soul:"""" The Interdisciplinarity of the Puritan New England Minister's Calling in Spiritual and Physical Wellbeing, 1660 to 1730""","""Creator: Hill, Christine, Thesis advisor: Najar, Monica""",5/1/2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/physicians-soul,,,,,,,,,,,,,,,,,,,
394355,delete,"""""""Really listen this time:"""" Searching for Alternative Archival Practices in Gloria Naylor's Archive""","""Creator: Boyd, Ellen - Lehigh University, Creator: Foltz, Mary - Lehigh University""",2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/really-listen-0,,,,,,,,,,,,,,,,,,,
7190,keep,"""""""Really listen this time:"""" Searching for Alternative Archival Practices in Gloria Naylor's Archive""","""Creator: Boyd, Ellen, Thesis advisor: Foltz, Mary""",5/1/2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/really-listen,,,,,,,,,,,,,,,,,,,
395086,delete,"""3D Finite Difference Tomography for the Crustal Structure Beneath the Khövsgöl Rift System, Mongolia""","""Creator: Scott, Adrienne M. - Lehigh University, Creator: Meltzer, Anne S. - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/3d-finite-0,,,,,,,,,,,,,,,,,,,
3971,keep,"""3D Finite Difference Tomography for the Crustal Structure Beneath the Khövsgöl Rift System, Mongolia""","""Creator: Scott, Adrienne M, Thesis advisor: Meltzer, Anne S.""",5/4/2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/3d-finite,,,,,,,,,,,,,,,,,,,
394339,delete,"""A Cold War Sentinel: Representative Francis E. Walter--Immigration Hawk, Anti-Communist, and Solon of the Lehigh Valley""","""Creator: Bentz, Adam T. - Lehigh University, Creator: Simon, Roger D. - Lehigh University""",2015,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/cold-war-0,,,,,,,,,,,,,,,,,,,
7640,keep,"""A Cold War Sentinel: Representative Francis E. Walter--Immigration Hawk, Anti-Communist, and Solon of the Lehigh Valley""","""Creator: Bentz, Adam T., Thesis advisor: Simon, Roger D., Thesis advisor: Smith, John K., Thesis advisor: Pettegrew, John C., Thesis advisor: Davis, Frank L. ;""",5/1/2015,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/cold-war,,,,,,,,,,,,,,,,,,,
394238,delete,"""Actin Bundle, Ring and Network Formation in Confining Environment""","""Creator: Adeli Koudehi, Maral - Lehigh University, Creator: Vavylonis, Dimitrios - Lehigh University""",2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/actin-bundle-0,,,,,,,,,,,,,,,,,,,
6636,keep,"""Actin Bundle, Ring and Network Formation in Confining Environment""","""Creator: Adeli Koudehi, Maral, Thesis advisor: Vavylonis, Dimitrios""",2019-01,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/actin-bundle,,,,,,,,,,,,,,,,,,,
2687,keep,"""After the Self: The Transatlantic Subject in Modern Literature, 1908-1937""","""Creator: Linebaugh, Wade, Thesis advisor: Singh, Amardeep""",2018-01,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/after-self,,,,,,,,,,,,,,,,,,,
394816,delete,"""After the Self: The Transatlantic Subject in Modern Literature, 1908-1937""","""Creator: Linebaugh, Wade - Lehigh University, Creator: Singh, Amardeep - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/after-self-0,,,,,,,,,,,,,,,,,,,
394682,delete,"""A High-Resolution Paleoecological Perspective on Historical Fire Regimes in Great Lakes Barren Communities of Stockton Island, Wisconsin""","""Creator: Huff, Matthew G. - Lehigh University, Creator: Booth, Robert K. - Lehigh University""",2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/high-3,,,,,,,,,,,,,,,,,,,
5443,keep,"""A High-Resolution Paleoecological Perspective on Historical Fire Regimes in Great Lakes Barren Communities of Stockton Island, Wisconsin""","""Creator: Huff, Matthew Glenn, Thesis advisor: Booth, Robert K.""",2019-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/high-resolution,,,,,,,,,,,,,,,,,,,
394465,delete,"""A Multi-Systemic, Person-Centered Analysis of Maternal Stress Physiology in Relation to Maternal Sensitivity in the Context of Infant Distress""","""Creator: Dai, Chenchen - Lehigh University, Creator: Woodhouse, Susan - Lehigh University""",2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/multi-systemic-1,,,,,,,,,,,,,,,,,,,
